# Time (s),Altitude (m)
54.215,1.448e4
54.265,1.448e4
54.315,1.448e4
54.365,1.449e4
54.415,1.449e4
54.465,1.449e4
54.515,1.449e4
54.565,1.45e4
54.615,1.45e4
54.665,1.45e4
54.715,1.45e4
54.765,1.451e4
54.815,1.451e4
54.865,1.451e4
54.915,1.451e4
54.965,1.451e4
55.015,1.452e4
55.065,1.452e4
55.115,1.452e4
55.165,1.452e4
55.215,1.453e4
55.265,1.453e4
55.315,1.453e4
55.365,1.453e4
55.415,1.453e4
55.465,1.454e4
55.515,1.454e4
55.565,1.454e4
55.615,1.454e4
55.665,1.454e4
55.715,1.455e4
55.765,1.455e4
55.815,1.455e4
55.865,1.455e4
55.915,1.455e4
55.965,1.456e4
56.015,1.456e4
56.065,1.456e4
56.115,1.456e4
56.165,1.456e4
56.215,1.456e4
56.265,1.457e4
56.315,1.457e4
56.365,1.457e4
56.415,1.457e4
56.465,1.457e4
56.515,1.457e4
56.565,1.457e4
56.615,1.458e4
56.665,1.458e4
56.715,1.458e4
56.765,1.458e4
56.815,1.458e4
56.865,1.458e4
56.915,1.458e4
56.965,1.459e4
57.015,1.459e4
57.065,1.459e4
57.115,1.459e4
57.165,1.459e4
57.215,1.459e4
57.265,1.459e4
57.315,1.459e4
57.365,1.46e4
57.415,1.46e4
57.465,1.46e4
57.515,1.46e4
57.565,1.46e4
57.615,1.46e4
57.665,1.46e4
57.715,1.46e4
57.765,1.46e4
57.815,1.46e4
57.865,1.46e4
57.915,1.461e4
57.965,1.461e4
58.015,1.461e4
58.065,1.461e4
58.115,1.461e4
58.165,1.461e4
58.215,1.461e4
58.265,1.461e4
58.315,1.461e4
58.365,1.461e4
58.415,1.461e4
58.465,1.461e4
58.515,1.461e4
58.565,1.461e4
58.615,1.461e4
58.665,1.462e4
58.715,1.462e4
58.765,1.462e4
58.815,1.462e4
58.865,1.462e4
58.915,1.462e4
58.965,1.462e4
59.015,1.462e4
59.065,1.462e4
59.115,1.462e4
59.165,1.462e4
59.215,1.462e4
59.265,1.462e4
59.315,1.462e4
59.365,1.462e4
59.415,1.462e4
59.465,1.462e4
59.515,1.462e4
59.565,1.462e4
59.615,1.462e4
59.665,1.462e4
59.667,1.462e4
